Union,Gender,Age,Education_Level,Monthly_Income,Family_Size,Housing_Type,Land_Ownership,Previous_Erosion_Experience,Distance_from_River,Access_to_Warning,Relocation_History,Govt_or_NGO_Assistance,Has_Protection_System,Infrastructure_Loss,Income_Diversification,Employment_Status,Involved_in_Community_Adaptation,Awareness_Level,Distance_score,EII,ASI,SRI,ISS,Adaptation_Category
Bakchar,Male,42,Not Educated,3419,5,Permanent,Yes,No,149,No,No,No,No,No,No,Not Employed,No,Low,0.9038,0.4519,0,0.0385,0,Non-Adaptive
Bakchar,Male,59,Partially Educated,8012,6,Semi-Permanent,Yes,No,135,No,No,No,No,No,No,Employed,No,Moderate,0.9132,0.4566,0,0.6835,0,Non-Adaptive
Bakchar,Male,44,Partially Educated,3318,2,Temporary,Yes,No,250,No,No,Yes,No,No,No,Not Employed,No,Moderate,0.8363,0.4182,0.2,0.2092,0.3333,Moderately Adaptive
Sthal,Female,18,Not Educated,2868,4,Semi-Permanent,No,Yes,466,Yes,No,No,No,No,Yes,Not Employed,Yes,Low,0.6921,0.546,0.6,0.0235,0.3333,Moderately Adaptive
Sthal,Male,41,Partially Educated,6833,5,Permanent,No,No,110,Yes,No,No,Yes,No,No,Employed,No,High,0.9299,0.4649,0.4,0.6515,0.3333,Moderately Adaptive
Sthal,Male,24,Not Educated,8227,8,Permanent,Yes,No,273,Yes,No,No,No,No,No,Employed,No,Low,0.821,0.4105,0.2,0.5158,0,Non-Adaptive
Bakchar,Female,30,Partially Educated,3708,7,Permanent,Yes,Yes,314,Yes,No,No,No,Yes,Yes,Employed,No,High,0.7936,0.7968,0.4,0.5667,0,Non-Adaptive
Kachua,Male,50,Partially Educated,10677,9,Permanent,Yes,Yes,42,No,No,Yes,Yes,No,No,Not Employed,Yes,Low,0.9753,0.6876,0.6,0.4088,1,Strongly Adaptive
Bakchar,Male,27,Partially Educated,6738,3,Permanent,Yes,No,75,Yes,No,No,No,No,No,Employed,Yes,Low,0.9532,0.4766,0.4,0.6489,0.3333,Moderately Adaptive
Bakchar,Male,48,Partially Educated,6589,7,Permanent,Yes,No,457,Yes,Yes,No,No,Yes,No,Employed,No,Low,0.6981,0.649,0.2,0.6449,0,Non-Adaptive
Maijbari,Male,50,Partially Educated,4665,6,Permanent,No,Yes,116,Yes,No,No,No,No,Yes,Not Employed,Yes,Low,0.9259,0.6629,0.6,0.2457,0.3333,Moderately Adaptive
Maijbari,Male,39,Educated,8234,7,Permanent,Yes,No,19,No,No,No,No,No,Yes,Employed,No,Moderate,0.9906,0.4953,0.2,0.863,0,Moderately Adaptive
Bakchar,Female,34,Educated,7728,6,Permanent,No,No,629,No,No,No,No,No,No,Employed,No,High,0.5832,0.2916,0,0.8492,0,Moderately Adaptive
Kachua,Female,32,Educated,4328,6,Permanent,No,Yes,555,No,No,No,No,No,No,Employed,No,High,0.6326,0.5163,0,0.757,0,Non-Adaptive
Maijbari,Male,44,Educated,11739,4,Permanent,No,Yes,685,No,No,No,No,No,Yes,Not Employed,No,High,0.5458,0.4729,0.2,0.611,0,Strongly Adaptive
Sthal,Female,40,Educated,4840,3,Semi-Permanent,No,Yes,112,Yes,No,No,No,No,No,Employed,No,Moderate,0.9285,0.6643,0.2,0.7709,0,Non-Adaptive
Sthal,Male,34,Educated,7498,5,Permanent,Yes,No,10,No,No,Yes,Yes,No,No,Not Employed,Yes,Moderate,0.9967,0.4983,0.6,0.496,1,Strongly Adaptive
Sthal,Male,50,Partially Educated,4250,8,Permanent,Yes,No,134,Yes,No,No,No,Yes,No,Employed,Yes,High,0.9138,0.6569,0.4,0.5814,0.3333,Moderately Adaptive
Maijbari,Female,45,Educated,6962,4,Permanent,Yes,Yes,144,No,No,No,No,No,No,Employed,Yes,High,0.9071,0.6536,0.2,0.8285,0.3333,Moderately Adaptive
Kachua,Female,23,Educated,6840,5,Semi-Permanent,Yes,Yes,58,No,No,No,No,No,No,Employed,Yes,High,0.9646,0.6823,0.2,0.8252,0.3333,Moderately Adaptive
Bakchar,Female,55,Educated,8015,4,Permanent,No,No,85,No,No,No,No,No,No,Employed,No,High,0.9466,0.4733,0,0.857,0,Moderately Adaptive
Bakchar,Female,51,Not Educated,7314,4,Semi-Permanent,Yes,Yes,57,No,Yes,Yes,Yes,No,No,Employed,No,Low,0.9653,0.7826,0.4,0.4911,0.6667,Non-Adaptive
Sthal,Female,43,Educated,4999,6,Permanent,Yes,No,169,Yes,No,No,Yes,No,Yes,Employed,No,Moderate,0.8904,0.4452,0.6,0.7752,0.3333,Strongly Adaptive
Bakchar,Female,24,Partially Educated,7071,9,Semi-Permanent,No,No,217,Yes,No,No,No,No,Yes,Employed,No,Moderate,0.8584,0.4292,0.4,0.6579,0,Moderately Adaptive
Maijbari,Female,31,Educated,4882,3,Semi-Permanent,Yes,No,562,Yes,No,Yes,Yes,Yes,No,Employed,Yes,High,0.6279,0.514,0.8,0.7721,1,Strongly Adaptive
Maijbari,Female,33,Not Educated,8120,5,Semi-Permanent,No,No,97,No,No,No,No,No,Yes,Employed,No,Moderate,0.9385,0.4693,0.2,0.5129,0,Non-Adaptive
Sthal,Male,38,Educated,11121,6,Semi-Permanent,Yes,No,67,No,No,No,Yes,No,Yes,Employed,Yes,High,0.9586,0.4793,0.6,0.9412,0.6667,Strongly Adaptive
Sthal,Female,35,Partially Educated,8887,7,Permanent,Yes,No,141,Yes,No,No,Yes,No,No,Not Employed,Yes,Moderate,0.9092,0.4546,0.6,0.3602,0.6667,Strongly Adaptive
Sthal,Male,28,Partially Educated,7059,5,Temporary,Yes,No,43,Yes,No,Yes,No,Yes,No,Employed,No,Low,0.9746,0.6873,0.4,0.6576,0.3333,Moderately Adaptive
Bakchar,Male,44,Not Educated,3088,4,Permanent,No,No,65,Yes,No,No,No,No,No,Not Employed,Yes,Low,0.9599,0.48,0.4,0.0295,0.3333,Non-Adaptive
Maijbari,Male,34,Educated,6073,7,Semi-Permanent,No,No,16,Yes,No,No,Yes,No,No,Not Employed,Yes,High,0.9927,0.4963,0.6,0.4574,0.6667,Strongly Adaptive
Sthal,Male,21,Not Educated,5908,8,Permanent,No,No,618,No,No,No,No,No,Yes,Employed,No,Low,0.5905,0.2953,0.2,0.4529,0,Non-Adaptive
Maijbari,Female,34,Partially Educated,2929,3,Permanent,No,Yes,147,Yes,No,No,No,No,No,Employed,No,Low,0.9051,0.6526,0.2,0.5456,0,Non-Adaptive
Bakchar,Female,18,Partially Educated,5064,6,Permanent,Yes,No,21,No,No,No,No,Yes,Yes,Not Employed,Yes,Moderate,0.9893,0.6947,0.4,0.2566,0.3333,Non-Adaptive
Kachua,Female,56,Educated,5228,8,Semi-Permanent,Yes,No,78,No,No,No,No,No,Yes,Employed,No,Moderate,0.9512,0.4756,0.2,0.7814,0,Moderately Adaptive
Bakchar,Female,34,Educated,4785,6,Temporary,No,Yes,179,No,No,No,Yes,No,Yes,Employed,Yes,Moderate,0.8838,0.6419,0.6,0.7694,0.6667,Strongly Adaptive
Maijbari,Male,59,Partially Educated,4274,5,Permanent,No,No,255,Yes,No,No,No,No,Yes,Employed,No,High,0.833,0.4165,0.4,0.5821,0,Moderately Adaptive
Sthal,Male,25,Not Educated,5411,6,Semi-Permanent,No,Yes,101,Yes,No,Yes,No,Yes,No,Employed,Yes,Low,0.9359,0.8679,0.6,0.4394,0.6667,Non-Adaptive
Sthal,Female,43,Not Educated,4951,5,Permanent,No,Yes,31,No,No,No,No,No,No,Not Employed,Yes,Low,0.9826,0.6913,0.2,0.08,0.3333,Non-Adaptive
Bakchar,Female,30,Partially Educated,10127,3,Semi-Permanent,No,No,5,No,No,Yes,No,No,Yes,Employed,No,Moderate,1,0.5,0.4,0.7408,0.3333,Strongly Adaptive
Kachua,Male,24,Educated,5891,2,Temporary,No,Yes,109,No,No,No,No,No,No,Employed,No,High,0.9305,0.6653,0,0.7994,0,Non-Adaptive
Sthal,Male,57,Educated,9118,7,Semi-Permanent,Yes,Yes,217,No,No,No,No,Yes,Yes,Not Employed,Yes,High,0.8584,0.8292,0.4,0.54,0.3333,Strongly Adaptive
Sthal,Female,64,Partially Educated,8043,7,Permanent,Yes,Yes,29,Yes,No,No,No,No,Yes,Employed,No,Moderate,0.984,0.692,0.4,0.6843,0,Non-Adaptive
Kachua,Female,36,Partially Educated,8506,8,Semi-Permanent,Yes,No,823,No,No,No,Yes,Yes,Yes,Employed,No,Moderate,0.4536,0.4268,0.4,0.6969,0.3333,Strongly Adaptive
Sthal,Male,45,Partially Educated,4771,6,Semi-Permanent,Yes,No,336,Yes,No,Yes,No,No,No,Not Employed,No,Low,0.7789,0.3894,0.4,0.2486,0.3333,Moderately Adaptive
Bakchar,Female,31,Educated,6201,6,Temporary,No,No,251,Yes,No,No,No,No,No,Not Employed,Yes,Moderate,0.8357,0.4178,0.4,0.4609,0.3333,Strongly Adaptive
Kachua,Male,51,Partially Educated,5460,6,Temporary,Yes,Yes,68,No,No,No,No,No,Yes,Not Employed,Yes,High,0.9579,0.679,0.4,0.2673,0.3333,Moderately Adaptive
Maijbari,Female,29,Not Educated,5239,6,Semi-Permanent,No,No,125,No,No,Yes,No,No,No,Employed,No,Low,0.9198,0.4599,0.2,0.4348,0.3333,Non-Adaptive
Maijbari,Male,27,Partially Educated,10401,9,Semi-Permanent,No,Yes,209,No,No,No,Yes,Yes,No,Not Employed,Yes,High,0.8637,0.8319,0.4,0.4013,0.6667,Moderately Adaptive
Sthal,Female,26,Educated,6943,3,Temporary,Yes,No,105,No,No,Yes,No,Yes,No,Employed,No,High,0.9332,0.6666,0.2,0.8279,0.3333,Moderately Adaptive
Bakchar,Male,47,Partially Educated,5506,4,Semi-Permanent,Yes,No,479,No,No,No,Yes,No,Yes,Employed,Yes,Moderate,0.6834,0.3417,0.6,0.6155,0.6667,Strongly Adaptive
Maijbari,Male,45,Not Educated,5278,4,Semi-Permanent,Yes,Yes,29,Yes,No,No,No,No,No,Not Employed,No,Low,0.984,0.692,0.2,0.0889,0,Non-Adaptive
Maijbari,Female,54,Not Educated,10395,4,Semi-Permanent,Yes,No,360,No,No,No,No,No,No,Employed,No,Low,0.7629,0.3814,0,0.5746,0,Non-Adaptive
Sthal,Female,52,Partially Educated,7963,7,Permanent,No,No,108,No,No,No,Yes,No,No,Employed,No,Low,0.9312,0.4656,0.2,0.6821,0.3333,Moderately Adaptive
Bakchar,Female,38,Educated,8570,5,Semi-Permanent,Yes,No,61,No,No,No,No,No,No,Employed,Yes,Moderate,0.9626,0.4813,0.2,0.8721,0.3333,Strongly Adaptive
Kachua,Male,53,Educated,3236,3,Semi-Permanent,No,No,20,No,No,No,No,No,Yes,Employed,No,Moderate,0.99,0.495,0.2,0.7274,0,Moderately Adaptive
Bakchar,Male,54,Not Educated,8098,8,Semi-Permanent,Yes,No,84,No,No,No,No,No,No,Not Employed,No,Low,0.9472,0.4736,0,0.1654,0,Non-Adaptive
Sthal,Male,46,Partially Educated,8885,7,Permanent,Yes,Yes,50,No,No,No,No,No,No,Not Employed,No,Moderate,0.9699,0.685,0,0.3602,0,Non-Adaptive
Bakchar,Female,36,Educated,8377,7,Semi-Permanent,No,No,192,No,No,Yes,No,Yes,Yes,Employed,No,High,0.8751,0.6375,0.4,0.8668,0.3333,Strongly Adaptive
Sthal,Male,36,Educated,8622,3,Semi-Permanent,No,No,179,Yes,No,No,No,No,Yes,Not Employed,Yes,High,0.8838,0.4419,0.6,0.5265,0.3333,Strongly Adaptive
Kachua,Male,44,Not Educated,5777,5,Permanent,Yes,No,447,No,No,No,Yes,No,Yes,Not Employed,Yes,Low,0.7047,0.3524,0.6,0.1024,0.6667,Strongly Adaptive
Sthal,Female,49,Partially Educated,8658,7,Permanent,No,Yes,29,Yes,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.984,0.692,0.6,0.354,0.3333,Moderately Adaptive
Maijbari,Female,27,Not Educated,8717,5,Temporary,Yes,No,441,No,No,Yes,Yes,No,No,Not Employed,No,Low,0.7088,0.3544,0.4,0.1821,0.6667,Moderately Adaptive
Kachua,Male,46,Partially Educated,4324,4,Semi-Permanent,No,No,46,No,Yes,No,No,No,Yes,Employed,No,Moderate,0.9726,0.5863,0.2,0.5835,0,Non-Adaptive
Bakchar,Female,28,Not Educated,5785,4,Semi-Permanent,Yes,Yes,403,Yes,No,Yes,Yes,No,Yes,Not Employed,Yes,Low,0.7341,0.5671,1,0.1026,1,Strongly Adaptive
Sthal,Male,39,Partially Educated,4450,10,Permanent,Yes,No,418,Yes,No,Yes,No,Yes,Yes,Employed,No,High,0.7241,0.5621,0.6,0.5869,0.3333,Moderately Adaptive
Bakchar,Female,55,Not Educated,8213,6,Permanent,No,No,197,Yes,No,No,Yes,No,No,Employed,No,Low,0.8717,0.4359,0.4,0.5154,0.3333,Moderately Adaptive
Sthal,Male,59,Partially Educated,6361,7,Permanent,No,No,785,No,No,No,No,No,No,Employed,No,Low,0.479,0.2395,0,0.6387,0,Moderately Adaptive
Kachua,Male,38,Partially Educated,6001,7,Temporary,Yes,Yes,91,No,No,Yes,No,Yes,No,Not Employed,No,Moderate,0.9426,0.8713,0.2,0.282,0.3333,Non-Adaptive
Sthal,Male,29,Partially Educated,10526,7,Permanent,No,No,477,Yes,Yes,No,No,No,No,Employed,No,Moderate,0.6847,0.4424,0.2,0.7516,0,Moderately Adaptive
Maijbari,Male,21,Partially Educated,9588,3,Permanent,No,Yes,165,No,No,No,No,No,No,Employed,No,Moderate,0.8931,0.6466,0,0.7262,0,Non-Adaptive
Sthal,Female,49,Partially Educated,4800,3,Semi-Permanent,Yes,No,94,Yes,Yes,Yes,Yes,No,No,Not Employed,Yes,Moderate,0.9405,0.5703,0.8,0.2494,1,Strongly Adaptive
Bakchar,Female,33,Educated,7384,8,Semi-Permanent,Yes,No,39,Yes,No,Yes,Yes,No,Yes,Employed,No,Moderate,0.9773,0.4886,0.8,0.8399,0.6667,Strongly Adaptive
Kachua,Female,42,Not Educated,11569,2,Semi-Permanent,Yes,No,51,Yes,Yes,No,No,No,Yes,Not Employed,No,Low,0.9693,0.5846,0.4,0.2595,0,Non-Adaptive
Sthal,Male,66,Partially Educated,2391,9,Semi-Permanent,Yes,No,11,No,No,No,Yes,No,No,Not Employed,No,Low,0.996,0.498,0.2,0.1841,0.3333,Non-Adaptive
Sthal,Male,52,Partially Educated,8627,7,Semi-Permanent,Yes,No,510,Yes,No,No,No,No,Yes,Not Employed,No,Moderate,0.6627,0.3313,0.4,0.3532,0,Strongly Adaptive
Maijbari,Male,32,Educated,4498,4,Semi-Permanent,Yes,No,591,No,No,No,No,Yes,No,Employed,No,High,0.6086,0.5043,0,0.7616,0,Non-Adaptive
Sthal,Male,49,Not Educated,9780,3,Permanent,No,Yes,177,Yes,Yes,No,Yes,Yes,No,Employed,No,Low,0.8851,0.9426,0.4,0.5579,0.3333,Non-Adaptive
Sthal,Male,55,Partially Educated,5268,3,Semi-Permanent,No,No,22,No,No,Yes,No,No,Yes,Employed,No,High,0.9886,0.4943,0.4,0.609,0.3333,Moderately Adaptive
Maijbari,Female,34,Partially Educated,4991,4,Semi-Permanent,Yes,No,21,Yes,No,No,No,No,Yes,Employed,Yes,Moderate,0.9893,0.4947,0.6,0.6015,0.3333,Strongly Adaptive
Bakchar,Female,18,Not Educated,5367,4,Semi-Permanent,Yes,No,68,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.9579,0.479,0.4,0.4383,0.6667,Non-Adaptive
Bakchar,Male,29,Educated,9572,3,Semi-Permanent,Yes,No,156,No,No,No,Yes,No,Yes,Not Employed,No,High,0.8991,0.4496,0.4,0.5523,0.3333,Strongly Adaptive
Bakchar,Male,47,Partially Educated,11090,7,Temporary,Yes,No,208,Yes,No,Yes,No,No,No,Employed,No,Moderate,0.8644,0.4322,0.4,0.7669,0.3333,Strongly Adaptive
Sthal,Female,30,Partially Educated,10309,6,Temporary,Yes,No,31,Yes,No,No,No,No,No,Employed,Yes,High,0.9826,0.4913,0.4,0.7457,0.3333,Moderately Adaptive
Maijbari,Male,52,Partially Educated,9128,5,Temporary,Yes,No,14,No,No,No,No,No,No,Not Employed,No,High,0.994,0.497,0,0.3668,0,Non-Adaptive
Kachua,Female,54,Not Educated,9966,6,Permanent,Yes,Yes,83,Yes,No,Yes,No,No,Yes,Employed,Yes,Low,0.9479,0.6739,0.8,0.563,0.6667,Strongly Adaptive
Bakchar,Male,42,Partially Educated,9097,3,Temporary,No,Yes,227,No,No,No,Yes,No,No,Employed,Yes,Moderate,0.8517,0.6259,0.4,0.7129,0.6667,Moderately Adaptive
Maijbari,Female,31,Not Educated,8328,2,Permanent,Yes,No,87,No,No,No,No,No,No,Employed,No,Low,0.9452,0.4726,0,0.5185,0,Non-Adaptive
Sthal,Male,44,Educated,8592,10,Permanent,No,No,375,No,No,No,Yes,Yes,No,Employed,Yes,High,0.7528,0.5764,0.4,0.8727,0.6667,Strongly Adaptive
Bakchar,Male,31,Educated,4254,4,Temporary,Yes,Yes,147,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.9051,0.6526,0.4,0.755,0.6667,Strongly Adaptive
Sthal,Male,24,Partially Educated,6575,8,Semi-Permanent,Yes,Yes,150,Yes,Yes,No,No,No,Yes,Not Employed,No,High,0.9031,0.7516,0.4,0.2975,0,Non-Adaptive
Maijbari,Male,29,Partially Educated,5070,6,Semi-Permanent,Yes,No,63,No,No,No,No,No,No,Not Employed,No,Moderate,0.9613,0.4806,0,0.2567,0,Non-Adaptive
Maijbari,Female,18,Educated,5561,5,Permanent,No,No,591,Yes,Yes,No,Yes,No,No,Employed,No,Moderate,0.6086,0.4043,0.4,0.7905,0.3333,Strongly Adaptive
Kachua,Male,53,Not Educated,7688,3,Permanent,Yes,Yes,159,No,No,No,No,No,No,Not Employed,No,Low,0.8971,0.6486,0,0.1542,0,Non-Adaptive
Sthal,Female,36,Not Educated,7936,4,Semi-Permanent,No,No,215,No,No,No,No,Yes,No,Employed,Yes,Moderate,0.8597,0.6299,0.2,0.5079,0.3333,Non-Adaptive
Sthal,Female,35,Partially Educated,6191,5,Temporary,Yes,No,195,No,No,No,No,Yes,No,Not Employed,Yes,Low,0.8731,0.6365,0.2,0.2871,0.3333,Non-Adaptive
Sthal,Female,31,Partially Educated,10491,4,Semi-Permanent,No,No,191,No,No,No,No,Yes,No,Not Employed,Yes,Low,0.8758,0.6379,0.2,0.4037,0.3333,Moderately Adaptive
Sthal,Male,40,Not Educated,9468,7,Permanent,Yes,Yes,148,Yes,No,No,No,No,No,Employed,No,Moderate,0.9045,0.6522,0.2,0.5495,0,Non-Adaptive
Kachua,Male,60,Partially Educated,7175,4,Permanent,Yes,No,65,No,No,No,No,No,No,Not Employed,No,Low,0.9599,0.48,0,0.3138,0,Non-Adaptive
Bakchar,Male,35,Not Educated,7956,4,Temporary,Yes,No,434,Yes,No,No,No,No,Yes,Employed,No,Moderate,0.7134,0.3567,0.4,0.5085,0,Moderately Adaptive
Sthal,Female,54,Educated,2685,4,Semi-Permanent,Yes,No,63,Yes,No,No,No,No,No,Not Employed,No,High,0.9613,0.4806,0.2,0.3655,0,Moderately Adaptive
Maijbari,Male,48,Partially Educated,6214,3,Temporary,Yes,No,48,Yes,No,Yes,No,No,Yes,Employed,No,Moderate,0.9713,0.4856,0.6,0.6347,0.3333,Strongly Adaptive
Maijbari,Female,33,Educated,5529,5,Semi-Permanent,Yes,No,256,No,No,No,Yes,Yes,No,Not Employed,No,High,0.8323,0.6162,0.2,0.4426,0.3333,Moderately Adaptive
Kachua,Male,30,Partially Educated,8543,3,Permanent,No,No,155,No,No,No,No,No,No,Employed,No,Low,0.8998,0.4499,0,0.6979,0,Non-Adaptive
Kachua,Male,48,Partially Educated,11659,8,Semi-Permanent,No,Yes,175,No,No,No,No,No,No,Employed,No,Moderate,0.8864,0.6432,0,0.7823,0,Non-Adaptive
Kachua,Male,54,Not Educated,2000,7,Temporary,Yes,No,258,No,No,Yes,No,No,No,Not Employed,No,Low,0.831,0.4155,0.2,0,0.3333,Non-Adaptive
Maijbari,Female,66,Partially Educated,3947,5,Permanent,Yes,No,7,Yes,No,No,No,No,No,Not Employed,No,High,0.9987,0.4993,0.2,0.2263,0,Non-Adaptive
Sthal,Male,37,Educated,9846,6,Semi-Permanent,No,No,67,No,No,Yes,No,Yes,No,Not Employed,Yes,High,0.9586,0.6793,0.4,0.5597,0.6667,Strongly Adaptive
Sthal,Female,39,Educated,4396,4,Permanent,No,Yes,266,No,No,No,Yes,Yes,No,Employed,No,High,0.8257,0.8128,0.2,0.7589,0.3333,Moderately Adaptive
Maijbari,Male,50,Partially Educated,6365,3,Permanent,Yes,Yes,40,Yes,No,No,Yes,No,No,Not Employed,No,Low,0.9766,0.6883,0.4,0.2918,0.3333,Moderately Adaptive
Sthal,Female,28,Not Educated,8535,6,Semi-Permanent,Yes,No,205,No,No,No,Yes,No,Yes,Employed,No,Low,0.8664,0.4332,0.4,0.5242,0.3333,Moderately Adaptive
Sthal,Male,39,Educated,5395,4,Permanent,Yes,Yes,9,No,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.9973,0.6987,0.4,0.439,0.3333,Strongly Adaptive
Bakchar,Female,49,Not Educated,3235,4,Temporary,No,No,256,No,No,No,No,No,No,Employed,Yes,Low,0.8323,0.4162,0.2,0.3804,0.3333,Non-Adaptive
Bakchar,Male,52,Educated,8176,11,Permanent,No,Yes,260,No,No,Yes,No,No,Yes,Not Employed,No,High,0.8297,0.6148,0.4,0.5144,0.3333,Strongly Adaptive
Bakchar,Female,33,Educated,7088,4,Permanent,No,No,106,No,No,No,No,No,No,Employed,No,Moderate,0.9325,0.4663,0,0.8319,0,Moderately Adaptive
Bakchar,Male,27,Educated,7906,4,Temporary,No,Yes,264,No,No,No,No,Yes,Yes,Employed,Yes,High,0.827,0.8135,0.4,0.8541,0.3333,Strongly Adaptive
Sthal,Female,61,Not Educated,5453,6,Semi-Permanent,Yes,Yes,267,No,No,No,No,No,Yes,Not Employed,No,Low,0.825,0.6125,0.2,0.0936,0,Non-Adaptive
Bakchar,Male,40,Partially Educated,3925,4,Permanent,Yes,No,135,Yes,No,No,No,Yes,No,Employed,Yes,Moderate,0.9132,0.6566,0.4,0.5726,0.3333,Moderately Adaptive
Kachua,Male,44,Educated,5032,2,Semi-Permanent,Yes,No,72,No,No,No,No,No,Yes,Not Employed,No,High,0.9552,0.4776,0.2,0.4292,0,Moderately Adaptive
Sthal,Male,38,Partially Educated,6219,7,Permanent,Yes,No,64,Yes,No,No,No,No,Yes,Employed,Yes,Low,0.9606,0.4803,0.6,0.6348,0.3333,Strongly Adaptive
Kachua,Male,26,Partially Educated,5105,7,Permanent,No,No,212,No,No,No,No,No,Yes,Employed,No,Moderate,0.8617,0.4309,0.2,0.6046,0,Moderately Adaptive
Kachua,Female,41,Educated,6151,6,Permanent,Yes,Yes,149,No,No,No,No,No,No,Employed,No,High,0.9038,0.6519,0,0.8065,0,Non-Adaptive
Bakchar,Male,54,Educated,4650,8,Permanent,Yes,No,440,Yes,No,Yes,No,No,No,Employed,No,High,0.7094,0.3547,0.4,0.7658,0.3333,Strongly Adaptive
Sthal,Female,31,Partially Educated,5197,3,Permanent,Yes,Yes,312,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.7949,0.5975,0.4,0.6071,0.6667,Moderately Adaptive
Kachua,Male,35,Partially Educated,5178,9,Permanent,No,No,711,Yes,No,Yes,Yes,No,No,Employed,Yes,Moderate,0.5284,0.2642,0.8,0.6066,1,Strongly Adaptive
Kachua,Male,25,Not Educated,6410,6,Permanent,Yes,No,294,No,No,Yes,Yes,No,No,Not Employed,No,Moderate,0.8069,0.4035,0.4,0.1196,0.6667,Moderately Adaptive
